introductory  引导的  引导的引导的
intended  预定的  预定的预定的
gentle  温和的  温和的温和的
introduction  介绍  介绍介绍
concepts  概念  概念概念
congress  国会  国会国会
intricacy  错综复杂  错综复杂错综复杂
nail  指甲  指甲指甲
equilibrium  平衡  平衡平衡
potent  有强效的  有强效的有强效的
bitterness  苦涩  苦涩苦涩
alga  藻类  藻类藻类
incubator  恒温箱  恒温箱恒温箱
definition  释义  释义释义
exuberate  过度斥责  过度斥责过度斥责
criteria  标准  标准标准
crappy  蹩脚的  蹩脚的蹩脚的
chore  家务活  家务活家务活
compressed  压缩的  压缩的压缩的
elaborate  复杂的  复杂的复杂的
literally  字面上  字面上字面上
ample  充足的  充足的充足的
resume  简历  简历简历
exaggeration  夸张  夸张夸张
therapeutics  治疗学  治疗学治疗学
numb  麻木的  麻木的麻木的
simulated  模拟的  模拟的模拟的
offense  冒犯  冒犯冒犯
privilege  特权  特权特权
salary  薪水  薪水薪水
overwhelmingly  压倒性地  压倒性地压倒性地
workload  工作量  工作量工作量
disregard  漠视  漠视漠视
screen  屏幕  屏幕屏幕
apparently  显然地  显然地显然地
cable  缆绳  缆绳缆绳
silly  愚蠢的  愚蠢的愚蠢的
inferences  推论  推论推论
abroad  国外  国外国外
abandoning  放弃  放弃放弃
particular  特指的  特指的特指的
exuberant  旺盛的  旺盛的旺盛的
casually  随意地  随意地随意地
insight  洞察力  洞察力洞察力
aspect  方面  方面方面
interdisciplinary  跨学科的  跨学科的跨学科的
specific  具体的  具体的具体的
controversy  争议  争议争议
wound  伤口  伤口伤口
maturity  成熟  成熟成熟
prone  有做…倾向的  有做…倾向的有做…倾向的
satellite  人造卫星  人造卫星人造卫星
prospectus  介绍说明文件  介绍说明文件介绍说明文件
psychiatrist  精神科医生  精神科医生精神科医生
surgeon  外科医生  外科医生外科医生
postgraduate  研究生  研究生研究生
width  宽度  宽度宽度
nought  零  零零
mileage  里程  里程里程
disposal  处置  处置处置
theft  盗窃  盗窃盗窃
sanitation  卫生设备和系统  卫生设备和系统卫生设备和系统
container  容器  容器容器
gallery  陈列室  陈列室陈列室
chronic  慢性的  慢性的慢性的
clinic  诊所  诊所诊所
formula  公式  公式公式
renaissance  文艺复兴  文艺复兴文艺复兴
revolution  革命  革命革命
innovation  创造  创造创造
clip  夹子  夹子夹子
freak  怪胎  怪胎怪胎
commercial  贸易的  贸易的贸易的
realization  实现  实现实现
elegant  优雅的  优雅的优雅的
benefit  利益  利益利益
refrigeration  制冷  制冷制冷
convenience  方便  方便方便
dedicated  献身的  献身的献身的
inventor  发明者  发明者发明者
granted  授予  授予授予
evolved  进化的  进化的进化的
gather  聚集  聚集聚集
pond  池塘  池塘池塘
purchase  购买  购买购买
chilly  寒冷的  寒冷的寒冷的
pneumonia  肺炎  肺炎肺炎
compiler  编译器  编译器编译器
tin  锡  锡锡
line  线  线线
sawdust  锯末  锯末锯末
fuel  燃料  燃料燃料
entry  进入  进入进入
attribute  属性  属性属性
review  回顾  回顾回顾
compression  压缩  压缩压缩
brew  酿造  酿造酿造
ammonia  氨  氨氨
coolant  冷却液  冷却液冷却液
leak  漏  漏漏
electric  电的  电的电的
viable  可行的  可行的可行的
unit  单元  单元单元
mount  攀登  攀登攀登
eventually  最后  最后最后
patent  专利  专利专利
butane  丁烷  丁烷丁烷
corner  角  角角
outstanding  优秀的  优秀的优秀的
achievement  成就  成就成就
literature  文学  文学文学
foundation  地基  地基地基
wealth  钱财  钱财钱财
establishment  机构  机构机构
venture  企业  企业企业
enterprise  企业  企业企业
introverted  内向的  内向的内向的
horizon  地平线  地平线地平线
chemist  药剂师  药剂师药剂师
nitroglycerine  硝酸甘油  硝酸甘油硝酸甘油
consider  考虑  考虑考虑
explosive  爆炸的  爆炸的爆炸的
exceed  超过  超过超过
unpredictable  不可预知的  不可预知的不可预知的
manner  方式  方式方式
explosion  爆炸  爆炸爆炸
convince  说服  说服说服
barge  驳船  驳船驳船
anchored  锚定的  锚定的锚定的
discouraged  气馁的  气馁的气馁的
mass  大量  大量大量
suitable  合适的  合适的合适的
insertion  插入  插入插入
drilling  钻孔  钻孔钻孔
dynamite  炸药  炸药炸药
detonate  爆炸  爆炸爆炸
ignited  点燃的  点燃的点燃的
fuse  保险丝  保险丝保险丝
pneumatic  充气的  充气的充气的
drastically  彻底地  彻底地彻底地
tunnel  地下通道  地下通道地下通道
canal  运河  运河运河
entrepreneur  企业家  企业家企业家
constantly  不断地  不断地不断地
engage  从事  从事从事
intensively  密集地  密集地密集地
intensive  密集的  密集的密集的
versed  精通的  精通的精通的
secretary  秘书  秘书秘书
supervisor  监督人  监督人监督人
household  一家人  一家人一家人
qualified  有资格的  有资格的有资格的
applicant  申请人  申请人申请人
decided  果断的  果断的果断的
spite  恶意  恶意恶意
critical  批评的  批评的批评的
executors  遗嘱执行人  遗嘱执行人遗嘱执行人
penetrating  深刻的  深刻的深刻的
anchor  锚  锚锚
kieselguhr  硅藻土  硅藻土硅藻土
dynamism  活力  活力活力
radical  根本的  根本的根本的
diversified  多元化  多元化多元化
